Postcode,Latitude,Longitude,Price,% of London Avg
EC1A 4,51.519166,-0.097361693,698,98
EC1A 7,51.516213,-0.10160687,1100,153
EC1A 9,51.524503,-0.11208828,833,117
EC1M 4,51.520077,-0.10196512,570,80
EC1M 5,51.520991,-0.10286408,964,135
EC1M 6,51.520524,-0.10067808,944,132
EC1N 7,51.519827,-0.11042223,455,64
EC1N 8,51.518144,-0.1075227,1100,148
EC1R 0,51.52326,-0.10695019,1200,164
EC1R 1,51.527772,-0.10513396,767,108
EC1R 3,51.523674,-0.10918184,630,88
EC1R 4,51.52738,-0.10816329,901,126
EC1R 5,51.52223,-0.11052459,794,111
EC1V 0,51.523198,-0.099802784,1100,160
EC1V 1,51.531048,-0.10032657,756,106
EC1V 2,51.52948,-0.10121364,776,109
EC1V 3,51.526643,-0.094829906,593,83
EC1V 4,51.531381,-0.10697378,777,109
EC1V 7,51.530141,-0.10257023,710,100
EC1V 8,51.52488,-0.095898193,828,116
EC1V 9,51.523357,-0.097907796,761,107
EC1Y 0,51.523387,-0.097027183,1100,155
EC1Y 2,51.522089,-0.08745212,735,103
EC1Y 8,51.521548,-0.091208221,933,131
EC2A 2,51.522317,-0.086520024,1400,203
EC2A 3,51.524737,-0.07998913,1700,242
EC2A 4,51.524177,-0.085879842,914,128
EC2M 1,51.516838,-0.08473179,720,101
EC2Y 5,51.517346,-0.096039438,1400,195
EC2Y 8,51.518176,-0.096221018,1100,154
EC2Y 9,51.517902,-0.088766205,694,97
EC3A 7,51.51477,-0.077006926,2900,400
EC3N 1,51.51406,-0.076489152,1200,167
EC3N 2,51.524503,-0.11208828,488,68
EC3R 6,51.509046,-0.084986552,775,109
EC4A 1,51.517526,-0.10828337,802,113
EC4M 7,51.513653,-0.10120889,546,77
EC4R 1,51.510934,-0.092675132,465,65
EC4V 3,51.511117,-0.099512928,920,129
EC4V 5,51.513257,-0.10062006,1200,168
EC4Y 0,51.512597,-0.10484138,997,140
EN1 1,51.651933,-0.077090768,435,61
EN1 2,51.652024,-0.079876973,562,79
EN1 3,51.653372,-0.072143551,510,72
EN1 4,51.666208,-0.070745482,371,52
EN2 0,51.657483,-0.082104083,488,68
EN2 6,51.652328,-0.083073413,569,80
EN2 7,51.653249,-0.091014572,602,84
EN2 8,51.671854,-0.10715343,589,83
EN3 4,51.644435,-0.053183515,349,49
EN3 5,51.656059,-0.049201144,389,55
EN3 6,51.671066,-0.029191392,371,52
EN3 7,51.648033,-0.044052843,367,52
EN4 8,51.648779,-0.17006897,518,73
EN4 9,51.652069,-0.16189895,579,81
EN5 1,51.643239,-0.17114478,650,91
EN5 2,51.642079,-0.24063691,573,80
EN5 3,51.646185,-0.22131194,970,136
EN5 5,51.648037,-0.18831178,530,74
HA0 1,51.539677,-0.30304808,428,60
HA0 2,51.552273,-0.29787717,442,62
HA0 3,51.555314,-0.30549546,577,81
HA0 4,51.551655,-0.29872237,507,71
HA1 1,51.581021,-0.33679754,468,66
HA1 2,51.580618,-0.33434422,434,61
HA1 3,51.577778,-0.3344769,725,102
HA1 4,51.574026,-0.34509091,465,65
HA2 0,51.572341,-0.35059235,470,66
HA2 6,51.587455,-0.3607415,537,75
HA2 7,51.581835,-0.35498275,541,76
HA2 8,51.5696,-0.35845459,415,58
HA2 9,51.563652,-0.36715223,527,74
HA3 0,51.579337,-0.31958317,619,87
HA3 5,51.590604,-0.33275194,425,60
HA3 6,51.604759,-0.32781465,609,86
HA3 7,51.593223,-0.33483603,490,69
HA3 8,51.579582,-0.32351426,559,78
HA3 9,51.590426,-0.30654239,540,76
HA4 0,51.573425,-0.41357178,510,72
HA4 6,51.568789,-0.41057316,486,68
HA4 7,51.574809,-0.42555907,603,85
HA4 8,51.579264,-0.42313925,599,84
HA4 9,51.573451,-0.41284934,551,77
HA5 1,51.592949,-0.38407581,783,110
HA5 2,51.59846,-0.39379954,651,91
HA5 3,51.594014,-0.3778589,892,125
HA5 4,51.614826,-0.37034292,679,95
HA5 5,51.577365,-0.37944753,688,97
HA6 1,51.611575,-0.42334862,629,88
HA6 2,51.613467,-0.42628728,1100,159
HA7 1,51.605562,-0.3023113,546,77
HA7 2,51.601301,-0.32241132,641,90
HA7 3,51.618167,-0.31593924,1000,147
HA7 4,51.617036,-0.31352555,677,95
HA8 0,51.606783,-0.27198215,383,54
HA8 5,51.60731,-0.27661235,469,66
HA8 6,51.598118,-0.28451171,514,72
HA8 7,51.612279,-0.27700187,829,116
HA8 8,51.618653,-0.28798436,598,84
HA8 9,51.610552,-0.27638844,555,78
HA9 0,51.557908,-0.28351498,392,55
HA9 6,51.553423,-0.29223756,456,64
HA9 7,51.55329,-0.2942331,498,70
HA9 8,51.553974,-0.28810589,472,66
HA9 9,51.563349,-0.27922711,709,99
IG1 1,51.558255,0.072064067,405,57
IG1 2,51.55652,0.067974724,424,59
IG1 3,51.559472,0.069392636,569,80
IG1 4,51.564324,0.082786305,426,60
IG11 0,51.525635,0.079910083,334,47
IG11 7,51.533139,0.080684717,309,43
IG11 8,51.537987,0.078584183,277,39
IG11 9,51.541286,0.098390786,421,59
IG2 6,51.572847,0.082411036,506,71
IG2 7,51.567389,0.087962297,405,57
IG3 8,51.561221,0.092945837,451,63
IG3 9,51.558732,0.093827021,482,68
IG4 5,51.576197,0.057668342,495,69
IG5 0,51.582095,0.061341249,508,71
IG6 1,51.578987,0.082518528,451,63
IG6 2,51.588912,0.080677009,452,63
IG6 3,51.604414,0.094426211,426,60
IG7 4,51.60901,0.11092931,411,58
IG8 0,51.607377,0.023391276,853,120
IG8 7,51.599223,0.036298746,538,75
IG8 8,51.605688,0.050798618,567,80
IG8 9,51.605167,0.025343709,646,91
IG9 6,51.62775,0.048036823,582,82
KT1 1,51.408596,-0.30433927,583,82
KT1 2,51.408636,-0.30522928,615,86
KT1 3,51.410954,-0.28899533,652,91
KT1 4,51.409623,-0.31008168,647,91
KT2 5,51.413955,-0.30242972,883,124
KT2 6,51.417109,-0.29607132,768,108
KT2 7,51.412676,-0.28806824,1600,219
KT3 3,51.402625,-0.258942,683,96
KT3 4,51.401555,-0.25234059,956,134
KT3 5,51.398156,-0.25898229,688,97
KT3 6,51.397181,-0.25571299,696,98
KT4 8,51.380219,-0.24351111,540,76
KT5 8,51.395788,-0.29735236,645,91
KT5 9,51.387445,-0.28944116,611,86
KT6 4,51.392393,-0.31065911,495,69
KT6 6,51.394407,-0.29820861,736,103
KT6 7,51.385352,-0.29512411,568,80
KT9 1,51.367414,-0.30584649,456,64
KT9 2,51.363843,-0.29526213,448,63
N1 0,51.539425,-0.11793111,983,138
N1 1,51.539227,-0.10338921,1200,165
N1 2,51.540994,-0.099234624,1000,144
N1 3,51.540575,-0.094421163,1000,146
N1 4,51.546666,-0.085772669,927,130
N1 5,51.538782,-0.077696499,623,87
N1 6,51.529887,-0.086418886,603,85
N1 7,51.537534,-0.091577694,860,121
N1 8,51.536379,-0.10134468,1100,147
N1 9,51.531133,-0.12232453,647,91
N10 1,51.600529,-0.15071083,819,115
N10 2,51.595793,-0.14410281,982,138
N10 3,51.586207,-0.14520081,1200,167
N11 1,51.615924,-0.13480278,498,70
N11 2,51.609002,-0.13042162,668,94
N11 3,51.616345,-0.14719351,532,75
N12 0,51.609953,-0.174837,477,67
N12 7,51.617485,-0.19264882,817,115
N12 8,51.615737,-0.1819716,650,91
N12 9,51.61582,-0.16300272,546,77
N13 4,51.620946,-0.10755358,576,81
N13 5,51.62098,-0.09356818,559,78
N13 6,51.608917,-0.10773613,456,64
N14 4,51.64193,-0.14223401,599,84
N14 5,51.631894,-0.1285846,634,89
N14 6,51.63307,-0.12678773,792,111
N14 7,51.62551,-0.12524984,819,115
N15 3,51.584643,-0.092520204,511,72
N15 4,51.586552,-0.086593946,463,65
