postcode,longitude,latitude
EC3N 1,51.51406,-0.076489152
EC3N 2,51.524503,-0.11208828
EC3R 6,51.509046,-0.084986552
EC4A 1,51.517526,-0.10828337
EC4M 7,51.513653,-0.10120889
EC4R 1,51.510934,-0.092675132
EC4V 3,51.511117,-0.099512928
EC4V 5,51.513257,-0.10062006
EC4Y 0,51.512597,-0.10484138
EN1 1,51.651933,-0.077090768
EN1 2,51.652024,-0.079876973
EN1 3,51.653372,-0.072143551
EN1 4,51.666208,-0.070745482
EN2 0,51.657483,-0.082104083
EN2 6,51.652328,-0.083073413
EN2 7,51.653249,-0.091014572
EN2 8,51.671854,-0.10715343
EN3 4,51.644435,-0.053183515
EN3 5,51.656059,-0.049201144
EN3 6,51.671066,-0.029191392
EN3 7,51.648033,-0.044052843
EN4 8,51.648779,-0.17006897
EN4 9,51.652069,-0.16189895
EN5 1,51.643239,-0.17114478
EN5 2,51.642079,-0.24063691
EN5 3,51.646185,-0.22131194
EN5 5,51.648037,-0.18831178
HA0 1,51.539677,-0.30304808
HA0 2,51.552273,-0.29787717
HA0 3,51.555314,-0.30549546
HA0 4,51.551655,-0.29872237
HA1 1,51.581021,-0.33679754
HA1 2,51.580618,-0.33434422
HA1 3,51.577778,-0.3344769
HA1 4,51.574026,-0.34509091
HA2 0,51.572341,-0.35059235
HA2 6,51.587455,-0.3607415
HA2 7,51.581835,-0.35498275
HA2 8,51.5696,-0.35845459
HA2 9,51.563652,-0.36715223
HA3 0,51.579337,-0.31958317
HA3 5,51.590604,-0.33275194
HA3 6,51.604759,-0.32781465
HA3 7,51.593223,-0.33483603
HA3 8,51.579582,-0.32351426
HA3 9,51.590426,-0.30654239
HA4 0,51.573425,-0.41357178
HA4 6,51.568789,-0.41057316
HA4 7,51.574809,-0.42555907
HA4 8,51.579264,-0.42313925
HA4 9,51.573451,-0.41284934
HA5 1,51.592949,-0.38407581
HA5 2,51.59846,-0.39379954
HA5 3,51.594014,-0.3778589
HA5 4,51.614826,-0.37034292
HA5 5,51.577365,-0.37944753
HA6 1,51.611575,-0.42334862
HA6 2,51.613467,-0.42628728
HA7 1,51.605562,-0.3023113
HA7 2,51.601301,-0.32241132
HA7 3,51.618167,-0.31593924
HA7 4,51.617036,-0.31352555
HA8 0,51.606783,-0.27198215
HA8 5,51.60731,-0.27661235
HA8 6,51.598118,-0.28451171
HA8 7,51.612279,-0.27700187
HA8 8,51.618653,-0.28798436
HA8 9,51.610552,-0.27638844
HA9 0,51.557908,-0.28351498
HA9 6,51.553423,-0.29223756
HA9 7,51.55329,-0.2942331
HA9 8,51.553974,-0.28810589
HA9 9,51.563349,-0.27922711
IG1 1,51.558255,0.072064067
IG1 2,51.55652,0.067974724
IG1 3,51.559472,0.069392636
IG1 4,51.564324,0.082786305
IG11 0,51.525635,0.079910083
IG11 7,51.533139,0.080684717
IG11 8,51.537987,0.078584183
IG11 9,51.541286,0.098390786
IG2 6,51.572847,0.082411036
IG2 7,51.567389,0.087962297
IG3 8,51.561221,0.092945837
IG3 9,51.558732,0.093827021
IG4 5,51.576197,0.057668342
IG5 0,51.582095,0.061341249
IG6 1,51.578987,0.082518528
IG6 2,51.588912,0.080677009
IG6 3,51.604414,0.094426211
IG7 4,51.60901,0.11092931
IG8 0,51.607377,0.023391276
IG8 7,51.599223,0.036298746
IG8 8,51.605688,0.050798618
IG8 9,51.605167,0.025343709
IG9 6,51.62775,0.048036823
KT1 1,51.408596,-0.30433927
KT1 2,51.408636,-0.30522928
KT1 3,51.410954,-0.28899533
KT1 4,51.409623,-0.31008168
KT2 5,51.413955,-0.30242972
KT2 6,51.417109,-0.29607132
KT2 7,51.412676,-0.28806824
KT3 3,51.402625,-0.258942
KT3 4,51.401555,-0.25234059
KT3 5,51.398156,-0.25898229
KT3 6,51.397181,-0.25571299
KT4 8,51.380219,-0.24351111
KT5 8,51.395788,-0.29735236
KT5 9,51.387445,-0.28944116
KT6 4,51.392393,-0.31065911
KT6 6,51.394407,-0.29820861
KT6 7,51.385352,-0.29512411
KT9 1,51.367414,-0.30584649
KT9 2,51.363843,-0.29526213
N1 0,51.539425,-0.11793111
N1 1,51.539227,-0.10338921
N1 2,51.540994,-0.099234624
N1 3,51.540575,-0.094421163
N1 4,51.546666,-0.085772669
N1 5,51.538782,-0.077696499
N1 6,51.529887,-0.086418886
N1 7,51.537534,-0.091577694
N1 8,51.536379,-0.10134468
N1 9,51.531133,-0.12232453
N10 1,51.600529,-0.15071083
N10 2,51.595793,-0.14410281
N10 3,51.586207,-0.14520081
N11 1,51.615924,-0.13480278
N11 2,51.609002,-0.13042162
N11 3,51.616345,-0.14719351
N12 0,51.609953,-0.174837
N12 7,51.617485,-0.19264882
N12 8,51.615737,-0.1819716
N12 9,51.61582,-0.16300272
N13 4,51.620946,-0.10755358
N13 5,51.62098,-0.09356818
N13 6,51.608917,-0.10773613
N14 4,51.64193,-0.14223401
N14 5,51.631894,-0.1285846
N14 6,51.63307,-0.12678773
N14 7,51.62551,-0.12524984
N15 3,51.584643,-0.092520204
N15 4,51.586552,-0.086593946
N15 5,51.585289,-0.078130363
N15 6,51.576082,-0.071071856
N16 0,51.565965,-0.081427142
N16 5,51.573993,-0.073613652
N16 6,51.565061,-0.068580468
N16 7,51.563781,-0.069471553
N16 8,51.554028,-0.075192947
N16 9,51.557184,-0.08507137
N17 0,51.599578,-0.067708293
N17 6,51.597763,-0.082050985
N17 7,51.599928,-0.076414966
N17 8,51.599463,-0.068348526
N17 9,51.592934,-0.068899819
N18 1,51.609087,-0.086036484
N18 2,51.613089,-0.063610246
N19 3,51.571541,-0.12599921
N19 4,51.565863,-0.13196088
N19 5,51.55634,-0.13817907
N1C 4,51.535391,-0.12545125
N2 0,51.586175,-0.17013147
N2 8,51.587332,-0.16474388
N2 9,51.601735,-0.17204748
N20 0,51.628393,-0.16081884
N20 8,51.63634,-0.20837341
N20 9,51.631704,-0.17364612
N21 1,51.636934,-0.10308738
N21 2,51.635,-0.090798302
N21 3,51.630748,-0.099762045
N22 5,51.606472,-0.11001848
N22 6,51.591337,-0.098303257
N22 7,51.601388,-0.127211
N22 8,51.598606,-0.11968718
N3 1,51.606177,-0.19292462
N3 2,51.600387,-0.18076535
N3 3,51.591631,-0.20020057
N4 1,51.577749,-0.10216114
N4 2,51.564829,-0.10395445
N4 3,51.567332,-0.1102569
N4 4,51.572663,-0.11970449
N5 1,51.55455,-0.1022326
N5 2,51.554103,-0.097995788
N6 4,51.574339,-0.14934951
N6 5,51.577106,-0.14633624
N6 6,51.567595,-0.15222064
N7 0,51.555344,-0.12871342
N7 6,51.558882,-0.11715683
N7 7,51.554291,-0.10847501
N7 8,51.547349,-0.11409938
N7 9,51.543296,-0.12488127
N8 0,51.584529,-0.10492435
N8 7,51.589352,-0.12187384
N8 8,51.577968,-0.1247534
N8 9,51.577881,-0.11647274
N9 0,51.627045,-0.044059925
N9 7,51.627472,-0.060570535
N9 8,51.63588,-0.051367786
N9 9,51.627292,-0.06926167
NW1 0,51.536729,-0.13944085
NW1 1,51.530784,-0.13543005
NW1 2,51.527947,-0.12838086
NW1 3,51.52458,-0.13827833
NW1 4,51.534979,-0.14644772
NW1 5,51.522648,-0.15947507
NW1 6,51.523017,-0.16408743
NW1 7,51.538805,-0.14391294
NW1 8,51.541253,-0.1497259
NW1 9,51.548495,-0.13006177
NW10 0,51.559111,-0.24930817
NW10 1,51.556603,-0.24390836
NW10 2,51.542554,-0.2275477
NW10 3,51.537286,-0.23007386
NW10 4,51.537712,-0.2488749
NW10 5,51.534031,-0.23184384
NW10 6,51.531518,-0.23695855
NW10 7,51.536258,-0.25749567
NW10 8,51.534176,-0.24872224
NW10 9,51.536112,-0.25013309
NW11 0,51.584599,-0.20018977
NW11 6,51.586235,-0.1995333
NW11 7,51.581353,-0.19198992
NW11 8,51.568667,-0.19686534
NW11 9,51.575902,-0.20359289
NW2 1,51.562193,-0.21335227
NW2 2,51.563644,-0.19823274
NW2 3,51.557065,-0.21374079
NW2 4,51.553719,-0.21783865
NW2 5,51.548782,-0.22378639
NW2 6,51.555067,-0.21895441
NW2 7,51.570549,-0.23723826
NW3 1,51.559003,-0.17778639
NW3 2,51.552875,-0.16828032
NW3 3,51.544978,-0.16246808
